Specimen_ID;Process_ID;material;Width w;Thickness t;Notch depth nominal nn;Residual fracture surface nominal An;Stress nominal ?n;Measurement Station;Medium;Force;Start of measurement;End of measurement;Time to failure tf;Final elongation d;Residual fracture surface measured AL1;Residual fracture surface measured AL2;Residual fracture surface measured AL;Notch depth measured nm;Stress measured ?L;Test temperature ;Conditioning time;Leverage ratio
;;;mm;mm;mm;mm;MPa;;;N;;;h;;mm;mm;mm;mm;MPa;캜;h;
AGUV_7;1511007UVMS;PE-HD Lupolen 4261 AG UV 60005;6.043;6.02;1;16.253;8.25;6;Arkopal;134;04.11.2015 15:19;07.11.2015 19:34;66.17;2.229;16.22;16.19;16.21;1.025;8.269;50;10;1
AGUV_8;1511008UVMS;PE-HD Lupolen 4261 AG UV 60005;6.056;6.033;1;16.358;8.75;4;Arkopal;143;05.11.2015 11:14;08.11.2015 07:32;58.23;1.8;16.05;16.04;16.05;1.03;8.912;50;10;1
AGUV_9;1511009UVMS;PE-HD Lupolen 4261 AG UV 60005;6.196;6.096;1;17.187;9;9;Arkopal;153;04.11.2015 15:22;07.11.2015 02:04;48.62;2.567;16.03;15.84;15.94;1.03;9.602;50;10;1
AGUV_12;1511012UVMS;PE-HD Lupolen 4261 AG UV 60005;6.16;6.033;1;16.777;9.25;1;Arkopal;155;06.11.2015 11:04;08.11.2015 21:43;48.55;2.681;15.77;15.97;15.87;1.03;9.767;50;10;1
AGUV_13;1511013UVMS;PE-HD Lupolen 4261 AG UV 60005;6.033;6.116;1;16.6;9.75;3;Arkopal;162;06.11.2015 11:06;08.11.2015 19:32;46.33;3.337;16.05;15.94;16;1;10.128;50;10;1
AGUV_253;17010253UVMS;PE-HD Lupolen 4261 AG UV 60005;6.086;5.993;1;16.315;8.25;10;Distilled Water;135;25.01.2017 15:27;06.02.2017 21:25;283.68;4.045;16.55;16.54;16.55;0.988;8.16;50;10;1
AGUV_244;16120244UVMS;PE-HD Lupolen 4261 AG UV 60005;6.023;6.153;1;16.708;8.75;6;Distilled Water;146;19.12.2016 11:58;28.12.2016 05:40;199.4;4.027;16.55;16.24;16.4;0.988;8.905;50;10;1
AGUV_245;16120245UVMS;PE-HD Lupolen 4261 AG UV 60005;6.056;6.1;1;16.63;9;10;Distilled Water;150;05.01.2017 11:10;12.01.2017 16:36;163.18;4.189;16.88;16.76;16.82;0.98;8.918;50;10;1
AGUV_248;17010248UVMS;PE-HD Lupolen 4261 AG UV 60005;6.043;6.136;1;16.722;9.25;10;Distilled Water;155;13.01.2017 14:32;21.01.2017 13:54;181.09;4.264;16.71;16.85;16.78;1.005;9.237;50;10;1
AGUV_264;17020264UVMS;PE-HD Lupolen 4261 AG UV 60005;5.973;5.99;1;15.852;9.75;10;Distilled Water;154;09.02.2017 15:07;16.02.2017 03:58;146.59;4.684;15.18;15.46;15.32;1.023;10.052;50;10;1
5021DX_7;1511007DXMS;PE-HD Lupolen 5021 DX;6.016;6;1;16.064;8.25;1;Arkopal;133;04.11.2015 15:14;05.11.2015 11:20;10.04;1.58;16.45;16.34;16.4;0.973;8.112;50;10;1
5021DX_8;1511008DXMS;PE-HD Lupolen 5021 DX;6.07;5.946;1;16.06;8.75;3;Arkopal;141;04.11.2015 15:16;05.11.2015 09:15;7.91;1.637;16.06;15.78;15.92;1.02;8.857;50;10;1
5021DX_9;1511009DXMS;PE-HD Lupolen 5021 DX;6.013;5.976;1;15.956;9;4;Arkopal;144;04.11.2015 15:17;05.11.2015 08:00;6.65;1.523;16.08;15.97;16.03;1.025;8.986;50;10;1
5021DX_10;1511010DXMS;PE-HD Lupolen 5021 DX;6.12;5.916;1;16.134;9.25;3;Arkopal;149;05.11.2015 11:12;06.11.2015 04:06;6.82;1.721;16.34;16.32;16.33;1.01;9.124;50;10;1
5021DX_11;1511011DXMS;PE-HD Lupolen 5021 DX;5.956;5.99;1;15.784;9.75;1;Arkopal;154;05.11.2015 12:09;06.11.2015 03:49;5.6;1.931;15.66;15.68;15.67;1.025;9.828;50;10;1
5021DX_248;16120248DXMS;PE-HD Lupolen 5021 DX;6.046;6.06;1;16.427;8.25;1;Distilled Water;136;08.12.2016 12:48;09.12.2016 14:57;15.96;2.606;16.87;17.17;17.02;1.008;7.991;50;10;1
5021DX_253;16120253DXMS;PE-HD Lupolen 5021 DX;6.033;6.046;1;16.318;8.75;1;Distilled Water;143;13.12.2016 13:59;14.12.2016 13:32;13.48;2.763;16.54;16.56;16.55;0.998;8.64;50;10;1
5021DX_250;16120250DXMS;PE-HD Lupolen 5021 DX;5.98;6.04;1;16.079;9;4;Distilled Water;145;08.12.2016 12:51;09.12.2016 12:04;13.12;1.918;16.57;16.56;16.57;0.98;8.753;50;10;1
5021DX_251;16120251DXMS;PE-HD Lupolen 5021 DX;6.003;6.04;1;16.172;9.25;5;Distilled Water;149;08.12.2016 12:51;09.12.2016 08:47;9.8;2.893;16.79;16.65;16.72;0.995;8.911;50;10;1
5021DX_252;16120252DXMS;PE-HD Lupolen 5021 DX;6.05;6.133;1;16.739;9.75;6;Distilled Water;163;08.12.2016 12:53;09.12.2016 03:43;4.7;3.029;16.74;16.8;16.77;1.033;9.72;50;10;1
